"ID","LatGD","LonGD"
"BN1",15.8206388888889,-92.5821944444444
"BN2",15.8206388888889,-92.5821944444444
"BN3",16.15075,-93.5901111111111
"BN4",16.15075,-93.5901111111111
"BN5",16.1356111111111,-93.5959444444444
"BN6",16.15075,-93.5901111111111
"BN7",16.15075,-93.5901111111111
"BN8",16.15075,-93.5901111111111
"BN9",16.15075,-93.5901111111111
"BN10",16.15075,-93.5901111111111
"BN11",16.15075,-93.5901111111111
"BN12",16.15075,-93.5901111111111
"BN13",16.15075,-93.5901111111111
"BN14",16.15075,-93.5901111111111
"BN15",16.15075,-93.5901111111111
"BN16",16.15075,-93.5901111111111
"BN17",16.15075,-93.5901111111111
"BN18",16.15075,-93.5901111111111
"BN19",16.15075,-93.5901111111111
"BN20",16.15075,-93.5901111111111
"BN21",16.15075,-93.5901111111111
"BN22",16.15075,-93.5901111111111
"BN23",16.15075,-93.5901111111111
"BN24",15.8025,-92.5483055555556
"BN25",15.8025,-92.5483055555556
"BN26",15.8025,-92.5483055555556
"BN27",15.8025,-92.5483055555556
"BN28",15.8025,-92.5483055555556
"BN29",15.8025,-92.5483055555556
"BN30",15.699,-92.72375
"BN31",15.699,-92.72375
"BN32",15.699,-92.72375
"BN33",15.3233888888889,-92.2971944444444
"BN34",15.3233888888889,-92.2971944444444
"BN35",15.3233888888889,-92.2971944444444
"BN36",15.3233888888889,-92.2971944444444
"BN37",15.3233888888889,-92.2971944444444
"BN38",15.3233888888889,-92.2971944444444
"BN39",15.3233888888889,-92.2971944444444
"BN40",15.3233888888889,-92.2971944444444
"BN41",16.6612222222222,-94.2235555555556
"BN42",16.6612222222222,-94.2235555555556
"BN43",16.6612222222222,-94.2235555555556
"BN44",16.6612222222222,-94.2235555555556
"BN45",16.6612222222222,-94.2235555555556
"BN46",16.6612222222222,-94.2235555555556
"BN47",16.15075,-93.5901111111111
"BN48",16.15075,-93.5901111111111
"BN49",16.15075,-93.5901111111111
"BN50",16.15075,-93.5901111111111
"BN51",16.15075,-93.5901111111111
"BN52",16.15075,-93.5901111111111
"BN53",16.15075,-93.5901111111111
"BN54",16.15075,-93.5901111111111
"BN55",19.3478611111111,-96.9599444444444
"BN59",18.6516944444444,-97.0093611111111
"BN61",19.87611,-97.506111
"BN62",16.15075,-93.5901111111111
"BN63",16.15075,-93.5901111111111
"BN64",16.15075,-93.5901111111111
"BN65",16.15075,-93.5901111111111
"BN66",16.15075,-93.5901111111111
"BN67",16.15075,-93.5901111111111
"BN68",16.15075,-93.5901111111111
"BN69",16.15075,-93.5901111111111
"BN70",16.15075,-93.5901111111111
"BN71",16.15075,-93.5901111111111
"BN72",16.15075,-93.5901111111111
"BN73",16.15075,-93.5901111111111
"BN74",19.3478611111111,-96.9599444444444
"BN76",15.2937777777778,-92.4248611111111
"BN77",15.2937777777778,-92.4248611111111
"BN78",15.2937777777778,-92.4248611111111
"BN79",15.2937777777778,-92.4248611111111
"BN80",15.2937777777778,-92.4248611111111
"BN81",15.2937777777778,-92.4248611111111
"BN82",16.144,-93.60275
"BN83",16.1344444444444,-93.5959722222222
"BN84",15.7195555555556,-92.7340555555556
"BN85",15.7195555555556,-92.7340555555556
"BN86",15.6397222222222,-92.6483888888889
"BN87",15.6397222222222,-92.6483888888889
"BN88",15.6397222222222,-92.6483888888889
"BN89",18.6226111111111,-96.9617777777778
"BN91",18.6226111111111,-96.9617777777778
"BN93",19.1886666666667,-96.9909166666667
"BN94",19.44222,-97.1025
"BN95",19.44222,-97.1025
"BN96",19.44222,-97.1025
"BN97",19.87372,-97.31246
"BN98",20.3275,-98.21028
"BN102",16.6612222222222,-94.2235555555556
"BN105",15.8025,-92.5483055555556
"BN112",19.3277777777778,-97.0275277777778
"BN115",19.44222,-97.1025
"BN116",15.2983333333333,-92.2897777777778
"BN117",15.2983333333333,-92.2897777777778
"BN118",15.2983333333333,-92.2897777777778
"BN119",15.2983333333333,-92.2897777777778
"BN120",15.2983333333333,-92.2897777777778
"BN121",15.2983333333333,-92.2897777777778
"BN122",15.2983333333333,-92.2897777777778
"BN123",16.1512777777778,-93.5903055555555
"BN124",16.1512777777778,-93.5903055555555
"BN125",20.2639722222222,-104.808972222222
"BN126",20.2639722222222,-104.808972222222
"BN127",20.2639722222222,-104.808972222222
"BN128",20.2639722222222,-104.808972222222
"BN129",20.2639722222222,-104.808972222222
"BN133",16.15075,-93.5901111111111
"BN134",16.15075,-93.5901111111111
"BN135",16.15075,-93.5901111111111
"BN136",16.15075,-93.5901111111111
"BN137",16.15075,-93.5901111111111
"BN138",16.15075,-93.5901111111111
"BN139",16.15075,-93.5901111111111
"BN140",16.6612222222222,-94.2235555555556
"BN141",15.7015555555556,-92.7317777777778
"BN142",15.7015555555556,-92.7317777777778
"BN143",15.7015555555556,-92.7317777777778
"BN144",16.1540833333333,-93.5923333333333
"BN145",16.1540833333333,-93.5923333333333
"BN146",16.1344444444444,-93.5959444444444
"BN148",16.1356111111111,-93.5959444444444
"BN149",16.1356111111111,-93.5959444444444
"BN150",16.1344444444444,-93.5959722222222
"BN151",16.1344444444444,-93.5959722222222
"BN152",16.1344444444444,-93.5959722222222
"BN153",16.1344444444444,-93.5959722222222
"BN154",16.1344444444444,-93.5959722222222
"BN155",16.1344444444444,-93.5959722222222
"BN156",16.1344444444444,-93.5959722222222
"BN157",16.1344444444444,-93.5959722222222
"BN158",16.1344444444444,-93.5959722222222
"BN159",16.1344444444444,-93.5959722222222
"BN160",16.1344444444444,-93.5959722222222
"BN161",16.1344444444444,-93.5959722222222
"BN162",15.8025,-92.5483055555556
"BN163",15.8025,-92.5483055555556
"BN164",15.8025,-92.5483055555556
"BN165",15.8025,-92.5483055555556
"BN166",15.8025,-92.5483055555556
"BN167",15.8025,-92.5483055555556
"BN168",15.8025,-92.5483055555556
"BN169",15.8025,-92.5483055555556
"BN170",15.8025,-92.5483055555556
"BN171",15.8025,-92.5483055555556
"BN172",15.8025,-92.5483055555556
"BN173",15.8025,-92.5483055555556
"BN174",15.8025,-92.5483055555556
"BN175",15.8025,-92.5483055555556
"BN176",16.6612222222222,-94.2235555555556
"BN178",16.6612222222222,-94.2235555555556
"BN179",16.6612222222222,-94.2235555555556
"BN180",16.6612222222222,-94.2235555555556
"BN181",16.6612222222222,-94.2235555555556
"BN182",16.6612222222222,-94.2235555555556
"BN183",16.6612222222222,-94.2235555555556
"BN184",16.6612222222222,-94.2235555555556
"BN185",16.6612222222222,-94.2235555555556
"BN186",16.6612222222222,-94.2235555555556
"BN187",16.6612222222222,-94.2235555555556
"BN188",16.6612222222222,-94.2235555555556
"BN190",16.6612222222222,-94.2235555555556
"BN191",16.6612222222222,-94.2235555555556
"BN198",16.6612222222222,-94.2235555555556
"BN204",19.1898611111111,-96.9877222222222
"BN210",19.87372,-97.31246
"BN211",19.48939,-96.96438
"BN212",19.48939,-96.96438
"BN213",19.48939,-96.96438
"BN214",19.48939,-96.96438
"BN215",21.003889,-98.6613389
"BN216",16.6612222222222,-94.2235555555556
"BN217",16.6612222222222,-94.2235555555556
"BN218",16.6612222222222,-94.2235555555556
"BN219",16.6612222222222,-94.2235555555556
"BN220",16.6612222222222,-94.2235555555556
"BN221",16.6612222222222,-94.2235555555556
"BN222",16.6612222222222,-94.2235555555556
"BN225",16.6625277777778,-94.2210277777778
"BN226",16.6625277777778,-94.2210277777778
"BN227",16.6625277777778,-94.2210277777778
"BN228",16.6625277777778,-94.2210277777778
"BN229",16.6625277777778,-94.2210277777778
"BN230",16.6625277777778,-94.2210277777778
"BN233",20.2641666666667,-104.809361111111
"BN234",20.2641666666667,-104.809361111111
"BN235",20.2641666666667,-104.809361111111
"BN236",20.2639722222222,-104.808972222222
"BN237",20.3837222222222,-105.060111111111
"BN238",20.3837222222222,-105.060111111111
"BN241",18.6215833333333,-96.962
"BN242",19.1886666666667,-96.9909166666667
"BN244",19.1886666666667,-96.9909166666667
"BN245",19.1886666666667,-96.9909166666667
"BN246",19.1886666666667,-96.9909166666667
"BN247",20.2639722222222,-104.808972222222
"BN248",20.2639722222222,-104.808972222222
"BN249",20.2639722222222,-104.808972222222
"BN250",20.50625,-105.10638
"BN251",20.50625,-105.10638
"BN252",25.7156666666667,-107.564972222222
"BN253",20.3837222222222,-105.060111111111
"BN254",16.1602777777778,-97.0701666666667
"BN255",20.2639722222222,-104.808944444444
"BN256",20.2639722222222,-104.808944444444
"BN257",19.3483888888889,-96.9594166666667
"BN260",19.3558611111111,-97.0234722222222
"BN261",19.3558611111111,-97.0234722222222
"BN266",20.3837222222222,-105.060111111111
"BN267",20.2641666666667,-104.809361111111
"BN268",20.3837222222222,-105.060111111111
"BN269",16.1602777777778,-97.0701694444444
"BN270",16.1602777777778,-97.0701694444444
"BN271",20.2639722222222,-104.808972222222
"BN272",20.2639722222222,-104.808972222222
"BN273",20.3837222222222,-105.060111111111
"BN274",20.3837222222222,-105.060111111111
"BN275",20.50625,-105.10638
"BN276",20.50625,-105.10638
"BN280",18.6516944444444,-97.0093611111111
"BN285",21.645833,-99.158889
"BN288",20.08139,-97.528801
"BN289",26.7621388888889,-108.1525
"BN290",25.5243333333333,-107.3915
"BN291",25.5243333333333,-107.3915
"BN293",19.44222,-97.1025
"BN294",19.44222,-97.1025
"BN295",19.87372,-97.31246
"BN296",20.3275,-98.21028
"BN304",19.783611,-97.821667
"BN305",21.645833,-99.158889
"BN306",19.87611,-97.506111
"BN307",19.87611,-97.506111
"BN308",25.37524,-100.21185
"BN311",16.68733,-95.511389
"BN312",19.35206,-103.16158
"BN313",19.39878,-101.20878
"BN314",19.39878,-101.20878
"BN319",19.1886666666667,-96.9909166666667
"BN321",19.4839,-96.96438
"BN327",19.3493333333333,-96.9695
"BN331",19.3493333333333,-96.9695
"BN332",19.3493333333333,-96.9695
"BN333",19.3428055555556,-96.96975
"BN334",19.87611,-97.506111
"BN335",19.87611,-97.506111
"BN336",19.22222,-96.91333
"BN337",19.22222,-96.91333
"BN338",19.22222,-96.91333
"BN339",21.645833,-99.158889
"BN340",21.4997222222222,-104.983055555556
"BN341",23.3977777777778,-105.810277777778
"BN342",23.3977777777778,-105.810277777778
"BN343",28.4368888888889,-109.219611111111
"BN344",23.3977777777778,-105.810277777778
"BN345",24.3829722222222,-106.984722222222
"BN346",24.3829722222222,-106.984722222222
"BN347",25.5243333333333,-107.3915
"BN348",25.5243333333333,-107.3915
"BN349",25.7156666666667,-107.564972222222
"BN350",25.7156666666667,-107.564972222222
"BN351",25.7156666666667,-107.564972222222
"BN352",26.7621388888889,-108.1525
"BN353",26.7621388888889,-108.1525
"BN354",26.7621388888889,-108.1525
"BN355",26.7621388888889,-108.1525
"BN356",27.1332777777778,-108.795722222222
"BN357",27.1332777777778,-108.795722222222
"BN358",25.7156666666667,-107.564972222222
"BN360",17.577417,-97.416694
"BN361",18.43558,-97.62166
"BN363",17.644944,-99.731222
"BN365",17.644944,-99.731222
"BN366",17.768361,-100.117222
"BN367",17.768361,-100.117222
"BN368",17.768361,-100.117222
"BN369",17.63994,-99.841111
"BN370",17.63994,-99.841111
"BN371",17.554583,-99.8856
"BN372",17.61822,-99.779361
"BN373",17.61822,-99.779361
"BN374",17.61822,-99.779361
"BN375",18.24806,-97.387
"BN376",18.24806,-97.387
"BN377",18.24806,-97.387
"BN378",19.02753,-97.621083
"BN379",19.02753,-97.621083
"BN380",18.62783,-97.321778
"BN381",18.62783,-97.321778
"BN382",18.62783,-97.321778
"BN383",19.44222,-97.1025
"BN384",19.85667,-97.401389
"BN385",17.504917,-100.007556
"BN386",19.87611,-97.506111
"BN387",19.87611,-97.506111
"BN388",25.37524,-100.21185
"BN389",25.37524,-100.21185
"BN390",25.37524,-100.21185
"BN391",25.37524,-100.21185
"BN392",25.37524,-100.21185
"BN393",19.85667,-97.401389
"BN394",19.87611,-97.506111
"BN395",21.003889,-98.661389
"BN396",21.3975,-99.0130555555556
"BN397",19.85667,-97.401389
"BN398",19.87611,-97.506111
"BN399",20.3275,-98.21028
"BN400",17.513361,-99.962778
"BN401",24.8825,-100.19199
"BN402",25.37524,-100.21185
"BN403",24.8825,-100.19199
"BN404",24.8825,-100.19199
"BN405",17.554583,-99.8865
"BN406",21.003889,-98.661389
"BN407",19.51371,-101.12364
